КЕ	ОЭ, МДж	СВ, кг	СП, г	СЖ, г	СК, г	ЧЭЛ, МДж	Сах+расщКр, г	Ca, г	P, г	Mg, г	K, г	nXP, г	РБА, г	Cu, мг	Zn, мг	Mn, мг	Co, мг	J, мг	Se, мг	D, тыс.МЕ	E, мг

500

12	12,6	126	14,1	1610	340	3850	83,7	1694	73	51	22	82	1447,4	5	95	630	635	6,3	8,5	2,7	10,6	425
14	13,7	137	14,9	1780	385	4030	88,4	1925	81	57	23	89	1618,1	5	105	695	695	7	9,5	2,9	11,6	465
16	14,8	148	15,7	1980	435	4080	93,1	2165,6	89	63	25	96	1788,8	5	118	780	760	7,8	10,5	3,1	12,6	505
18	15,8	158	17,3	2141	485	4130	102,6	2406,3	97	69	26	103	1959,5	5	130	850	850	8,6	11,5	3,3	13,6	545
20	16,8	168	18,1	2320	535	4150	107,3	2695	105	75	27	110	2130,2	5	142	940	940	9,5	12,6	3,5	14,6	585
22	18	180	19	2500	590	4160	112,6	3080	113	81	28	117	2307,7	5	154	1040	1040	10,2	13,8	3,7	15,8	635
24	19,3	193	19,8	2690	640	4100	117,3	3465	121	87	29	124	2485,2	5	165	1110	1115	11,2	15,1	3,9	17,1	685
26	20,5	205	20,6	2897	690	4100	122	3850	129	93	30	131	2690	5	180	1190	1195	14,4	16,4	4,1	18,4	735
28	21,8	218	21,4	3128	740	4000	130,8	4235	137	99	32	138	2908,5	5	195	1280	1280	16	17,7	4,3	19,7	790
30	24,3	243	22,2	3610	850	4000	150,2	5005	153	111	34	152	3352,3	5	240	1420	1420	17,6	19,5	4,7	21	840

600

12	11,4	138	15,1	1734	364	3660	89,5	1332,1	78	55	24	79	1533,4	5,2	103	672	672	8,6	9,4	3	15,1	678
14	12,4	150	15,8	1910	394	3842	93,7	1522,7	85	60	26	87	1700	5,2	114	744	744	9,5	10,1	3,3	17,4	689
16	13,5	161	16,5	2087	432	3870	97,9	1726,7	93	65	27	92	1866,6	5,2	126	819	819	10,4	11,1	3,6	19,8	691
18	14,6	172	17,3	2263	470	3886	102,6	1942,3	100	70	28	100	2033,2	5,2	138	897	897	11,4	12,5	4	20,7	762
20	15,6	183	18	2440	501	3893	106,8	2167,6	108	75	30	107	2198,4	5,2	151	977	977	12,4	13,1	4,3	23,4	776
22	16,7	194	18,7	2616	543	3878	111	2406,3	115	81	32	113	2365	5,2	164	1061	1061	13,4	15,3	4,7	24,3	836
24	17,8	205	19,5	2793	604	3855	115,7	2656,5	123	86	33	119	2531,6	5,2	177	1147	1147	14,4	15,9	5	27,3	834
26	18,9	216	20,2	2969	659	3841	119,9	2918,3	131	92	35	126	2698,2	5,2	191	1236	1236	15,4	17,5	5,3	28,3	895
28	20,1	227	20,9	3146	736	3837	124,1	3193,6	139	98	36	132	2864,8	5,2	206	1327	1327	16,5	18,1	5,6	29,3	957
30	21,3	238	21,7	3322	813	3832	128,9	3478,5	148	103	38	139	3030	5,2	221	1422	1422	17,6	19,9	5,8	30,2	1030

700

12	11,9	146,6	16,7	1825	379	4055	108,5	1403,3	83	58	26	95	1584	5,5	109	711	711	9,2	9,3	3,1	16,7	750
14	12,9	157,6	17,4	2003	409	4080	113	1588,1	90	63	27	102	1761,5	5,5	120	784	784	10,2	10,3	3,3	19,2	835
16	13,9	168,5	18,1	2182	444	4122	117,5	1782,6	97	68	29	110	1937,6	5,5	132	859	859	11,1	11,4	3,5	21,6	905
18	14,9	179,4	18,8	2361	479	4176	122	1988,5	105	73	30	117	2115,1	5,5	144	938	938	12,1	12,4	3,8	22,5	996
20	16	190,4	19,5	2540	512	4231	126,5	2206,1	112	78	31	124	2292,6	5,5	157	1018	1018	13,1	13,6	4	25,3	1092
22	17,1	201,3	20,2	2719	577	4253	131	2431,3	120	84	33	131	2468,8	5,5	170	1102	1102	14,1	14,7	4,2	26,2	1173
24	18,1	212,2	20,9	2898	651	4221	135,5	2668,1	128	89	34	138	2646,3	5,5	184	1188	1188	15,1	15,9	4,5	29,3	1256
26	19,3	223,2	21,6	3077	693	4153	140	2916,4	136	95	35	145	2823,8	5,5	198	1278	1278	16,1	17,2	4,7	30,3	1342
28	20,4	234,1	22,4	3256	735	4093	145,2	3172,4	144	101	36	152	7096,4	5,5	212	1369	1369	17,2	18,4	4,9	31,3	1431
30	24,5	245	23,1	3435	933	4050	149,7	3440	152	107	37	159	3177,5	5,5	227	1464	1464	18,3	19,8	5,1	32,3	1542
